BOX,NAME,BOX_TYPE
2AB,20' T/FLAT 9'6,20
2BT,20' BUTTER BOX,20
2CT,"22' REEFER 9'10""",22
2DR,20' TANK 8'6,20
2FB,20' TRANSIFLAT,20
2GB,20' GENE B/LFT 9'6,20
2GT,20' GENE T/LFT 9'6,20
2HB,"20' H/HT B/LIFT 6'6""",20
2HF,"20' H/HT T/LIFT 3'6""",20
2HT,"20' H/HT T/LIFT 6'6""",20
2JB,"20'SOLID 9'6"" B/LIFT",20
2JS,20' SIDE OPENER 9'6,20
2JT,"20'SOLID 9'6"" T/LIFT",20
2KT,"20' TANK 9'6""",20
2LB,"20' CURT B/L 9'6""",20
2LT,"20' CURT 9'6""",20
2MB,20' SLD B/LIFT 9',20
2MT,20' SLD T/LIFT 9',20
2OT,"20' SLD T/LIFT 10'6""",20
2QS,20' SIDE OPENER 10',20
2RP,"21' REEFER 9'6""",21
2RR,"20' PWR TANK 8'6""",20
2RS,"20' FRIDGE 8'6""",20
2RT,"20' FRIDGE 9'6""",20
2SB,20' SOLID B/LIFT 8'6,20
2ST,20' SOLID T/LIFT 8'6,20
2TB,20' TANK B/LIFT 9',20
2TT,20' TANK T/LIFT 9',20
2WB,"20' B/LIFT 9'10""",20
2WE,"20' SOLID 9' 10.5""",20
2WS,20' SIDE OPENER 9'10,20
2WT,"20' SOLID 9'10""",20
2WW,"20"" WATER TANK 8'6""",20
2XT,"20' RFR T/LIFT 10'6""",20
2ZB,20' OOG B/LIFT 11'4,20
2ZT,20' OOG T/LIFT 11'4,20
3BB,24' T/FLAT 4'9,24
3BT,20'+ OOG T/LIFT 9'6,20
3DR,22' TANK/MOTOR 8.6',22
3FB,30' T/FLAT 8'6,30
3JT,"24' T/LIFT 9'10""",24
3MT,"30' T/LIFT 9'6""",30
3OT,"30' ORANGE 8'6""",30
3RA,"22' REEFER 9'10""",22
3RT,24' FRIDGE 9'10,24
3ST,"30' STD 8'6""",30
3TB,"21' FLEXI 9'6""",21
3WL,21' CURT T/LFT 9'10,21
3WT,22' SLD T/LFT 9'10,22
3ZB,30' OOG B/LIFT 11'6,30
3ZT,30' OOG T/LIFT 11'6,30
4AB,"40' TRAY B/LIFT 9'6""",40
4CB,40' CURT B/LIFT 9'10,40
4CT,40' CURT T/LIFT 9'10,40
4ET,"41'6"" REEFER",41
4FB,40' TRAY 9',40
4FR,40' T/LFT F/RACK 8'6,40
4FT,40' F/RACK 9'6,40
4FW,40' TRAY 9' 10,40
